Url;World rank;Overall Visits;Time On Site;Pages per Visit;Bounce Rate;Organic Search;Country 1;%;Country 2;%;Country 3;%;Country 4;%;Country 5;%
zumata.com;5,414,626;2.9K;00:02:55;3,11;34.26%;25;United States;25.45%;Singapore;23.56%;India;15.76%;Sweden;9.26%;Russia;6.63%
yikyak.com;5,528,487;5.44K;00:00:11;1,17;23.28%;0;United States;59.48%;France;15.28%;New Zealand;7.36%;Sweden;5.43%;Egypt;4.19%
zapier.com;5,570;7.3M;00:05:43;7,71;49.55%;53;United States;32.64%;United Kingdom;7%;Brazil;5.18%;Canada;3.58%;Spain;3.21%
zombiesrungame.com;350,320;112.99K;00:02:10;3,45;52.39%;32;United States;43.86%;United Kingdom;7.78%;Canada;5.77%;Germany;5.31%;Australia;4.42%
zillow.com;147;167.3M;00:06:38;11,2;42.97%;41;United States;95.75%;Canada;0.54%;United Kingdom;0.41%;Germany;0.26%;Brazil;0.23%
zenithmedia.com;1,067,624;31.8K;00:02:51;2,2;45.94%;70;United States;21.23%;United Kingdom;10.81%;India;6.97%;Spain;5.09%;Russia;3.45%
youtube.com;2                ;23.88B;00:21:33;9,39;27.5%;22;United States;16.22%;Russia;6.12%;Brazil;5.56%;United Kingdom;3.89%;India;3.79%
ycombinator.com;4,868;15.25M;00:04:18;2,57;54.29%;23;United States;39.19%;United Kingdom;6.63%;Canada;3.82%;India;3.67%;Germany;3.54%
yourmechanic.com;12,578;6.71M;00:01:20;1,71;79.1%;90;United States;71.91%;Canada;5.38%;United Kingdom;4.18%;Australia;1.81%;Mexico;0.8%
womentechmakers.com;509,340;88.86K;00:02:03;1,95;63.16%;29;United States;36.73%;India;8.22%;Egypt;4.71%;United Kingdom;4.3%;Brazil;3.75%
wish.com;308;88.87M;00:06:42;9,31;41.21%;21;United States;18.74%;France;8.78%;Brazil;7.8%;Germany;5.88%;Italy;5.52%
webucator.com;122,050;596.56K;00:00:57;1,32;86.74%;93;United States;30.09%;India;10.44%;United Kingdom;4.67%;Canada;3.13%;Germany;2.91%
