Url;World rank;Overall Visits;Time On Site;Pages per Visit;Bounce Rate;Organic Search;Country 1;%;Country 2;%;Country 3;%;Country 4;%;Country 5;%
zumata.com;2,991,819;6.21K;00:04:43;4,32;32.96%;26;Singapore;49.38%;United States;15.09%;Thailand;8.06%;Canada;6.72%;Russia;6.01%
zapier.com;5,525;7.71M;00:05:26;7,68;50.16%;51;United States;33.68%;United Kingdom;6.74%;Brazil;5.25%;Canada;3.88%;Australia;3.08%
yikyak.com;4,812,053;6.82K;00:00:01;1,17;42.2%;;France;30.63%;United Kingdom;22.34%;United States;21.95%;Italy;7.53%;India;6.82%
zombiesrungame.com;320,621;131.43K;00:01:32;3,15;59.54%;26;United States;46.14%;United Kingdom;11.17%;Netherlands;5.25%;Canada;4.65%;Germany;3.77%
zillow.com;131;195.71M;00:06:39;11,35;42.29%;42;United States;95.92%;Canada;0.53%;United Kingdom;0.36%;Brazil;0.24%;Germany;0.21%
zenithmedia.com;1,053,371;34.59K;00:02:03;2,2;53.91%;72;United States;23.15%;United Kingdom;5.73%;France;5.66%;India;5.07%;Poland;4.67%
youtube.com;2                ;24.79B;00:22:16;9,71;27.5%;22;United States;16.58%;Russia;6.05%;Brazil;5.66%;United Kingdom;3.85%;India;3.7%
yourmechanic.com;11,631;7.78M;00:01:18;1,63;78.6%;91;United States;71.6%;Canada;5.95%;United Kingdom;4.49%;Australia;1.71%;India;0.75%
ycombinator.com;4,645;16.74M;00:04:21;2,51;54.72%;24;United States;37.22%;United Kingdom;6.82%;Canada;4%;India;3.87%;China;3.42%
wish.com;309;92.93M;00:06:42;9,52;41.8%;24;United States;18.2%;Brazil;8.94%;France;8.85%;Germany;5.67%;Italy;5.18%
womentechmakers.com;500,178;85.62K;00:02:01;2,26;59.03%;32;United States;34.63%;India;16.3%;Brazil;5.51%;Australia;5.09%;Egypt;3%
wunwun.com;26,412,300;281;00:00:00;1;100%;100;United States;100%;;;;;;;;
wishpond.com;48,508;1.4M;00:02:14;2,72;63.33%;52;United States;40.51%;United Kingdom;6.04%;Canada;4.2%;Brazil;3.99%;India;3.96%
webucator.com;141,076;491.65K;00:01:05;1,54;84.67%;89;United States;27.79%;India;11.39%;United Kingdom;5.28%;Canada;3.44%;Vietnam;2.95%
waveapps.com;8,824;5.43M;00:09:08;7,26;30.36%;16;United States;42.32%;Canada;9.9%;South Africa;8.05%;United Kingdom;7.73%;Australia;4.98%
