Url;World rank;Overall Visits;Time On Site;Pages per Visit;Bounce Rate;Organic Search;Country 1;%;Country 2;%;Country 3;%;Country 4;%;Country 5;%
tweetd.com;14,552,793;999;00:00:00;1;89.42%;12;United Kingdom;71.19%;India;28.81%;;;;;;
foximas.com;18,002,891;445;00:00:00;2;0%;0;India;38.92%;United Kingdom;34.17%;Croatia;26.91%;;;;
meetup.com;1,026;35.81M;00:04:09;6,57;38.5%;21;United States;50.64%;United Kingdom;9.16%;Canada;5.65%;Australia;3.23%;Spain;3.09%
fsh.se;;0;00:00:00;0;0%;0;;;;;;;;;;
yakmob.com;21,317,451;308;00:00:01;2;0%;0;India;50.65%;United Kingdom;49.35%;;;;;;
catitti.com;19,470,547;308;00:00:40;2,93;0%;0;Croatia;78.51%;Pakistan;13.38%;Ukraine;8.12%;;;;
coyee.com;681,714;67.91K;00:00:49;1,39;61.42%;81;China;87.09%;United States;5.41%;Taiwan;3.18%;Hong Kong;1.23%;Canada;0.66%
jsfeeds.com;2,740,179;11.66K;00:00:58;1,18;78.11%;69;United States;18.98%;Vietnam;13.63%;Poland;12.24%;Israel;6.48%;Philippines;5.95%
abilogic.com;434,062;77.08K;00:03:55;3,94;53.76%;16;India;63.58%;United States;9%;Turkey;3.78%;Vietnam;3.3%;United Kingdom;1.72%
porter.io;2,136,222;14.07K;00:00:29;1,6;70.22%;86;United States;16.65%;Brazil;11.06%;China;10.58%;United Kingdom;7.46%;Germany;5.96%
smashfind.com;10,458,280;1.4K;00:00:13;1,77;32.99%;27;Germany;72.04%;Mexico;13.75%;United States;9.05%;Indonesia;5.16%;;
idney.com;22,467,085;221;00:00:35;3,04;0%;65;United States;65.47%;India;34.54%;;;;;;
barnacl.es;4,696,027;4.7K;00:01:05;1,63;76.9%;0;United Kingdom;18.82%;Ireland;13.02%;United States;11.84%;Turkey;10.19%;Mexico;7.8%
daxx.com.ua;34,004,785                ;85;00:00:03;2,26;33.9%;0;Ukraine;100%;;;;;;;;
goodfirms.co;387,524;115.23K;00:02:45;2,2;64.89%;70;India;37.3%;United States;19.07%;Ukraine;3.55%;United Kingdom;3.34%;Afghanistan;3.23%
webmasterbabble.com;2,262,388;7.57K;00:04:44;5,89;32.44%;25;India;25.85%;Ukraine;25.24%;United Kingdom;20.38%;United States;10.97%;Vietnam;7.98%
onmogul.com;406,790;117.87K;00:02:21;2,01;67.46%;42;United States;39.2%;India;22.5%;United Kingdom;4.4%;France;2.46%;Vietnam;2.43%
powersellersforum.com;4,096,455;3.21K;00:05:20;5,21;27.89%;4;China;41.78%;Poland;15.42%;Pakistan;12.4%;Ukraine;10.66%;Romania;9.93%
wpresss.com;12,869,340;968;00:01:53;1,72;63.82%;32;India;51.96%;United States;48.04%;;;;;;
jsobject.info;22,816,062;293;00:00:49;1,6;39.64%;57;Unknown;26.72%;India;25.57%;Malaysia;25.47%;Ukraine;8.66%;Russia;8.07%
fullstackfeed.com;7,855,824;2.25K;00:00:44;1,55;78.08%;83;France;15.22%;Brazil;14.26%;Turkey;9.55%;China;9.13%;India;8.33%
athome-network.com;2,361,482;10.44K;00:00:57;2,98;45.17%;16;Hungary;26.55%;Azerbaijan;10.26%;United Kingdom;7.67%;United States;6.52%;Austria;5.57%
drupalsun.com;3,461,803;8K;00:00:42;1,28;84.28%;87;United States;15.09%;Guatemala;11.23%;United Kingdom;9.25%;Brazil;8.22%;Switzerland;5.94%
kirillshevch.com;36,577,115                ;0;00:00:00;0;0%;0;;;;;;;;;;
downtownmiami.com;2,187,802;8.09K;00:08:34;4,62;39.1%;3;India;34.08%;Belgium;11.87%;Taiwan;10.18%;Pakistan;9.97%;China;7.21%
djinni.co;82,692;494.38K;00:06:17;6,01;34.61%;16;Ukraine;74.06%;Russia;5.49%;Romania;1.79%;United Kingdom;1.66%;United Arab Emirates;1.61%
pinstake.com;389,826;143.18K;00:00:56;1,79;66.39%;11;United States;10.48%;China;9.19%;India;7.69%;Turkey;7.41%;Brazil;5.04%
pechakucha.org;294,404;169.29K;00:02:18;2,49;58.57%;51;United States;36.56%;Netherlands;6.92%;United Kingdom;6.69%;Canada;4.49%;Vietnam;4.15%
libhunt.com;226,317;220.02K;00:02:16;2,45;53.38%;49;China;21.47%;United States;10.15%;Poland;9.99%;Germany;5.64%;Brazil;5.34%
habrahabr.net;1,508,900;26.99K;00:00:40;1,23;79.75%;79;Russia;61.48%;Ukraine;14%;Belarus;4.35%;Kazakhstan;3.85%;United States;2.24%
profitwithjulius.biz;35,521,773;76;00:00:00;2;0%;0;India;100%;;;;;;;;
123articleonline.com;871,738;26.04K;00:04:07;5,3;33.02%;3;India;77.14%;Cameroon;5.72%;United States;5.4%;Philippines;2.42%;Pakistan;2.38%
c4smartmarketing.com;26,992,334;156;00:04:46;2,52;24.04%;26;India;49.01%;Pakistan;26.95%;Nigeria;24.04%;;;;
bostoncommons.net;2,724,551;10.88K;00:00:58;1,32;75.29%;39;United States;36.74%;India;14.48%;Bulgaria;8.22%;Australia;5.07%;Lesotho;4.84%
digitalrookies.com;13,579,963;819;00:03:16;1,86;32.91%;3;India;36.75%;United Kingdom;36.7%;Romania;21.66%;Russia;4.9%;;
grochtdreis.de;10,709,209;1.49K;00:01:16;1,67;61.01%;29;Germany;92.49%;India;7.51%;;;;;;
behance.net;667;49.32M;00:05:25;7,36;24.47%;20;United States;11.36%;Brazil;8%;China;7.51%;India;5.47%;Russia;4.23%
techblog.vn;234,204;275.25K;00:01:23;1,29;82.55%;90;Vietnam;98.19%;Singapore;0.47%;United States;0.34%;Turkey;0.2%;Taiwan;0.1%
articlesfactory.com;264,848;103.02K;00:28:15;8,45;55.78%;41;India;20.36%;United States;18.86%;Pakistan;7.6%;Thailand;7.57%;Canada;3.66%
satheeshkumark.blogspot.com;-
dzone.com;6,898;12.48M;00:01:35;1,72;75.53%;80;India;21.4%;United States;15.84%;China;4.04%;Vietnam;3.93%;Poland;3.4%
lukekedz.com;27,439,712                ;0;00:00:00;0;0%;0;;;;;;;;;;
narendranaidu.com;13,745,513;1.03K;00:00:21;1,37;38.44%;18;United States;40.29%;Germany;23.32%;Canada;18.24%;Australia;18.15%;;
qaclubkiev.com;11,324,575;1.29K;00:00:33;1,49;78.57%;68;Ukraine;49.53%;Russia;14.7%;Poland;12.76%;Spain;11.84%;Latvia;8.45%
railsgirls.com;806,333;46.69K;00:01:18;1,99;63.36%;52;Brazil;17.75%;United States;12.03%;Poland;9.58%;Colombia;7.95%;China;5.31%
rubyweekly.com;1,447,004;24.23K;00:01:18;1,72;53.76%;25;United States;15.71%;Australia;13.85%;Russia;9.06%;Vietnam;8.28%;Brazil;5.38%
4hou.win;669,575;88.07K;00:00:38;1,17;45.98%;81;China;68.97%;United States;12.42%;Taiwan;7.68%;Hong Kong;3.05%;Thailand;1.12%
viblo.asia;42,759;1.87M;00:02:39;1,76;69%;78;Vietnam;96.56%;Singapore;0.75%;United States;0.44%;India;0.24%;Germany;0.2%
sneakysmart.co;25,372,111;252;00:00:15;1,6;31.53%;0;India;100%;;;;;;;;
brianyang.com;5,285,117;4.6K;00:00:07;1,18;94.43%;95;United States;24.08%;Turkey;8.6%;Netherlands;8.57%;Germany;7.61%;Poland;5.69%
